rank,name,platform,platform_full,Console_manufacturer,Generation,Handheld,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,Exclusive
6691,F1 Pole Position 64,N64,Nintendo 64,Nintendo,5th,N,1997,Racing,Ubisoft,0.11,0.13,0,0.01,0.25,Exclusive
1235,F1 Race,NES,Nintendo Entertainment System,Nintendo,3rd,N,1984,Racing,Nintendo,0,0,1.52,0,1.52,Exclusive
392,F-1 Race,GB,Game Boy,Nintendo,4th,Y,1990,Racing,Nintendo,1.73,0.69,0.59,0.4,3.41,Exclusive
5344,F1 Race Stars,PS3,PlayStation 3,SONY,7th,N,2012,Racing,Codemasters,0.06,0.21,0,0.08,0.35,Non-Exclusive
6105,F1 Race Stars,X360,Xbox 360,Microsoft,7th,N,2012,Racing,Codemasters,0.07,0.18,0,0.03,0.29,Non-Exclusive
10009,F1 Racing Championship,PS,PlayStation,SONY,5th,N,2000,Racing,Video System,0.06,0.04,0,0.01,0.11,Exclusive
6200,F1 ROC: Race of Champions,SNES,Super Nintendo,Nintendo,4th,N,1992,Sports,Ocean,0,0,0.28,0,0.28,Exclusive
1154,F-1 World Grand Prix,N64,Nintendo 64,Nintendo,5th,N,1998,Racing,Video System,0.46,0.96,0.09,0.08,1.6,Exclusive
2916,F-14 Tomcat,GBA,Game Boy Advance,Nintendo,6th,Y,2001,Action,Majesco Entertainment,0.5,0.19,0,0.01,0.7,Exclusive
16079,Fab 5 Soccer,DS,Nintendo DS,Nintendo,7th,Y,2008,Sports,Destineer,0.01,0,0,0,0.01,Exclusive
569,Fable,XB,Xbox,Microsoft,6th,N,2004,Role-Playing,Microsoft Game Studios,1.99,0.58,0,0.09,2.66,Exclusive
260,Fable II,X360,Xbox 360,Microsoft,7th,N,2008,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31,Exclusive
193,Fable III,X360,Xbox 360,Microsoft,7th,N,2010,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,Exclusive
6043,Fable: The Journey,X360,Xbox 360,Microsoft,7th,N,2012,Role-Playing,Microsoft Game Studios,0.18,0.09,0,0.02,0.29,Exclusive
11599,FabStyle,DS,Nintendo DS,Nintendo,7th,Y,2011,Strategy,Tecmo Koei,0,0,0.08,0,0.08,Exclusive
10103,Fabulous Finds,DS,Nintendo DS,Nintendo,7th,Y,2009,Puzzle,ValuSoft,0.1,0,0,0.01,0.11,Exclusive
11378,Face Racers: Photo Finish,3DS,Nintendo 3DS,Nintendo,8th,Y,2015,Racing,Majesco Entertainment,0.08,0,0,0,0.08,Exclusive
7947,Face Training,DS,Nintendo DS,Nintendo,7th,Y,2007,Misc,Nintendo,0,0,0.19,0,0.19,Exclusive
8258,FaceBreaker,PS3,PlayStation 3,SONY,7th,N,2008,Fighting,Electronic Arts,0.13,0.03,0,0.02,0.17,Non-Exclusive
7807,FaceBreaker,X360,Xbox 360,Microsoft,7th,N,2008,Fighting,Electronic Arts,0.15,0.02,0,0.02,0.19,Non-Exclusive
7137,FaceBreaker K.O. Party,Wii,Nintendo Wii,Nintendo,7th,N,2008,Fighting,Electronic Arts,0.2,0.01,0,0.02,0.22,Exclusive
5434,Fade to Black,PS,PlayStation,SONY,5th,N,1996,Action,Electronic Arts,0.19,0.13,0,0.02,0.34,Exclusive
13998,Fading Shadows,PSP,PlayStation Portable,SONY,7th,Y,2008,Puzzle,Ivolgamus,0.03,0,0,0,0.04,Exclusive
16294,FairlyLife: MiracleDays,PSP,PlayStation Portable,SONY,7th,Y,2010,Adventure,Piacci,0,0,0.01,0,0.01,Exclusive
7539,Fairy Fencer F,PS3,PlayStation 3,SONY,7th,N,2013,Role-Playing,Nippon Ichi Software,0.05,0.05,0.09,0.02,0.2,Exclusive
12199,Fairy Fencer F: Advent Dark Force,PS4,PlayStation 4,SONY,8th,N,2015,Role-Playing,Idea Factory International,0.02,0,0.05,0,0.07,Exclusive
10414,Fairy Tail: Portable Guild,PSP,PlayStation Portable,SONY,7th,Y,2010,Fighting,Konami Digital Entertainment,0,0,0.11,0,0.11,Exclusive
11734,Fairy Tail: Portable Guild 2,PSP,PlayStation Portable,SONY,7th,Y,2011,Fighting,Konami Digital Entertainment,0,0,0.08,0,0.08,Exclusive
12061,Fairy Tail: Zelef Kakusei,PSP,PlayStation Portable,SONY,7th,Y,2012,Action,Unknown,0,0,0.07,0,0.07,Exclusive
8228,Fairytale Fights,PS3,PlayStation 3,SONY,7th,N,2009,Action,Playlogic Game Factory,0.11,0.04,0,0.02,0.17,Non-Exclusive
8335,Fairytale Fights,X360,Xbox 360,Microsoft,7th,N,2009,Action,Playlogic Game Factory,0.14,0.02,0,0.01,0.17,Non-Exclusive
300,Fallout 3,PS3,PlayStation 3,SONY,7th,N,2008,Role-Playing,Bethesda Softworks,2.15,1.2,0.07,0.59,4.01,Non-Exclusive
209,Fallout 3,X360,Xbox 360,Microsoft,7th,N,2008,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96,Non-Exclusive
6926,Fallout 3 Game Add-On Pack: Broken Steel and Point Lookout,X360,Xbox 360,Microsoft,7th,N,2009,Role-Playing,Bethesda Softworks,0.16,0.06,0,0.02,0.24,Exclusive
10567,Fallout 3 Game Add-On Pack: The Pitt and Operation: Anchorage,X360,Xbox 360,Microsoft,7th,N,2009,Role-Playing,Bethesda Softworks,0.09,0.01,0,0.01,0.1,Exclusive
110,Fallout 4,PS4,PlayStation 4,SONY,8th,N,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,Non-Exclusive
288,Fallout 4,XOne,Xbox One,Microsoft,8th,N,2015,Role-Playing,Bethesda Softworks,2.45,1.26,0.01,0.37,4.09,Non-Exclusive
12215,Fallout: Brotherhood of Steel,PS2,PlayStation 2,SONY,6th,N,2004,Role-Playing,Avalon Interactive,0.03,0.03,0,0.01,0.07,Non-Exclusive
12991,Fallout: Brotherhood of Steel,XB,Xbox,Microsoft,6th,N,2004,Role-Playing,Avalon Interactive,0.04,0.01,0,0,0.05,Non-Exclusive
431,Fallout: New Vegas,PS3,PlayStation 3,SONY,7th,N,2010,Role-Playing,Bethesda Softworks,1.52,1.08,0.1,0.47,3.17,Non-Exclusive
290,Fallout: New Vegas,X360,Xbox 360,Microsoft,7th,N,2010,Role-Playing,Bethesda Softworks,2.65,1.06,0.04,0.33,4.08,Non-Exclusive
1861,Famicom Jump: Eiyuu Retsuden,NES,Nintendo Entertainment System,Nintendo,3rd,N,1989,Role-Playing,Namco Bandai Games,0,0,1.1,0,1.1,Exclusive
11337,Famicom Mini: Adventure Island,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Action,Hudson Soft,0,0,0.08,0,0.08,Exclusive
12336,Famicom Mini: Balloon Fight,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Action,Nintendo,0,0,0.06,0,0.06,Exclusive
13798,Famicom Mini: Clu Clu Land,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Puzzle,Nintendo,0,0,0.04,0,0.04,Exclusive
12882,Famicom Mini: Dig Dug,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Puzzle,Namco Bandai Games,0,0,0.05,0,0.05,Exclusive
11273,Famicom Mini: Famicom Mukashi Banashi - Shin Oniga Shima Zenkouhen,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Adventure,Nintendo,0,0,0.08,0,0.08,Exclusive
10250,Famicom Mini: Famicom Tantei Club - Kieta Koukeisha Zenkouhen,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Adventure,Nintendo,0,0,0.11,0,0.11,Exclusive
10722,Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Adventure,Nintendo,0,0,0.1,0,0.1,Exclusive
7429,Famicom Mini: Ganbare Goemon! Karakuri Douchuu,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Platform,Konami Digital Entertainment,0,0,0.2,0.01,0.21,Exclusive
11761,Famicom Mini: Hikari Shinwa: Palutena no Kagami,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Platform,Nintendo,0,0,0.07,0,0.07,Exclusive
11213,Famicom Mini: Makaimura,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Platform,Capcom,0,0,0.08,0,0.09,Exclusive
10749,Famicom Mini: Mappy,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Platform,Nintendo,0,0,0.09,0,0.1,Exclusive
11284,Famicom Mini: Mario Bros.,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Platform,Nintendo,0,0,0.08,0,0.08,Exclusive
11928,Famicom Mini: Nazo no Murasame-Jou,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Action,Nintendo,0,0,0.07,0,0.07,Exclusive
11511,Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Strategy,Nintendo,0,0,0.08,0,0.08,Exclusive
11516,Famicom Mini: Star Soldier,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Shooter,Nintendo,0,0,0.08,0,0.08,Exclusive
4590,Famicom Mini: Super Mario Bros. 2,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Platform,Nintendo,0,0,0.41,0.01,0.42,Exclusive
9851,Famicom Mini: TwinBee,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Shooter,Konami Digital Entertainment,0,0,0.12,0,0.12,Exclusive
12071,Famicom Mini: Wrecking Crew,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Puzzle,Nintendo,0,0,0.07,0,0.07,Exclusive
13889,Famicom Remix Best Choice,3DS,Nintendo 3DS,Nintendo,8th,Y,2015,Action,Nintendo,0,0,0.04,0,0.04,Exclusive
4446,Family Fest Presents Circus Games,Wii,Nintendo Wii,Nintendo,7th,N,2008,Misc,Ubisoft,0.1,0.29,0,0.05,0.44,Exclusive
7064,Family Fest presents: Movie Games,Wii,Nintendo Wii,Nintendo,7th,N,2008,Action,Ubisoft,0.2,0.01,0,0.02,0.23,Exclusive
8355,Family Feud Decades,Wii,Nintendo Wii,Nintendo,7th,N,2010,Misc,Ubisoft,0.16,0,0,0.01,0.17,Exclusive
3184,Family Feud: 2010 Edition,Wii,Nintendo Wii,Nintendo,7th,N,2009,Misc,Ubisoft,0.59,0,0,0.04,0.64,Exclusive
7670,Family Feud: 2012 Edition,Wii,Nintendo Wii,Nintendo,7th,N,2011,Misc,Ubisoft,0.19,0,0,0.01,0.2,Non-Exclusive
10454,Family Feud: 2012 Edition,X360,Xbox 360,Microsoft,7th,N,2011,Misc,Ubisoft,0.1,0,0,0.01,0.1,Non-Exclusive
9442,Family Fortunes,Wii,Nintendo Wii,Nintendo,7th,N,2009,Misc,Mindscape,0,0.12,0,0.01,0.13,Exclusive
10065,Family Fun Football,Wii,Nintendo Wii,Nintendo,7th,N,2009,Sports,Tecmo Koei,0.1,0,0,0.01,0.11,Exclusive
10026,Family Game Night 4: The Game Show,PS3,PlayStation 3,SONY,7th,N,2011,Misc,Electronic Arts,0.08,0.02,0,0.01,0.11,Non-Exclusive
7872,Family Game Night 4: The Game Show,Wii,Nintendo Wii,Nintendo,7th,N,2011,Misc,Electronic Arts,0.13,0.04,0,0.01,0.19,Non-Exclusive
11652,Family Game Night 4: The Game Show,X360,Xbox 360,Microsoft,7th,N,2011,Misc,Electronic Arts,0.07,0,0,0.01,0.08,Non-Exclusive
11021,Family GameShow,Wii,Nintendo Wii,Nintendo,7th,N,2009,Misc,Zushi Games,0.08,0,0,0.01,0.09,Exclusive
7717,Family Guy,PSP,PlayStation Portable,SONY,7th,Y,2006,Action,Take-Two Interactive,0.18,0,0,0.02,0.2,Exclusive
6093,Family Guy: Back to the Multiverse,PS3,PlayStation 3,SONY,7th,N,2012,Action,Activision,0.12,0.12,0,0.05,0.29,Non-Exclusive
6652,Family Guy: Back to the Multiverse,X360,Xbox 360,Microsoft,7th,N,2012,Action,Activision,0.14,0.09,0,0.02,0.25,Non-Exclusive
16221,Family Jockey,Wii,Nintendo Wii,Nintendo,7th,N,2008,Sports,Namco Bandai Games,0,0,0.01,0,0.01,Exclusive
10430,Family Party: 30 Great Games,Wii,Nintendo Wii,Nintendo,7th,N,2008,Misc,D3Publisher,0.09,0.01,0,0.01,0.1,Exclusive
8624,Family Party: 30 Great Games Outdoor Fun,Wii,Nintendo Wii,Nintendo,7th,N,2009,Misc,D3Publisher,0.14,0.01,0,0.01,0.16,Exclusive
7113,Family Party: 30 Great Games Winter Fun,Wii,Nintendo Wii,Nintendo,7th,N,2010,Sports,D3Publisher,0.21,0,0,0.01,0.23,Exclusive
5474,Family Party: 90 Great Games Party Pack,Wii,Nintendo Wii,Nintendo,7th,N,2010,Misc,D3Publisher,0.31,0,0,0.02,0.33,Exclusive
8805,Family Party: Fitness Fun,Wii,Nintendo Wii,Nintendo,7th,N,2010,Sports,D3Publisher,0.14,0,0,0.01,0.15,Exclusive
12101,Family Trainer: Treasure Adventure,Wii,Nintendo Wii,Nintendo,7th,N,2010,Sports,Namco Bandai Games,0,0.06,0,0.01,0.07,Exclusive
7617,Famista 64,N64,Nintendo 64,Nintendo,5th,N,2003,Sports,Namco Bandai Games,0,0,0.17,0.03,0.2,Exclusive
5864,Famista '91,NES,Nintendo Entertainment System,Nintendo,3rd,N,1990,Sports,Namco Bandai Games,0,0,0.3,0,0.3,Exclusive
6163,Famista '92,NES,Nintendo Entertainment System,Nintendo,3rd,N,1991,Sports,Namco Bandai Games,0,0,0.28,0,0.28,Exclusive
9245,Famista Returns,3DS,Nintendo 3DS,Nintendo,8th,Y,2015,Sports,Namco Bandai Games,0,0,0.14,0,0.14,Exclusive
8193,Fancy Nancy: Tea Party Time!,DS,Nintendo DS,Nintendo,7th,Y,2010,Adventure,THQ,0.17,0,0,0.01,0.18,Exclusive
11887,Fantasia: Music Evolved,X360,Xbox 360,Microsoft,7th,N,2014,Misc,Disney Interactive Studios,0.05,0.01,0,0.01,0.07,Exclusive
4011,Fantastic 4,PS2,PlayStation 2,SONY,6th,N,2005,Action,Activision,0.41,0.01,0,0.07,0.5,Non-Exclusive
6881,Fantastic 4,GC,GameCube,Nintendo,6th,N,2005,Action,Activision,0.19,0.05,0,0.01,0.24,Non-Exclusive
6357,Fantastic 4,XB,Xbox,Microsoft,6th,N,2005,Action,Activision,0.2,0.06,0,0.01,0.27,Non-Exclusive
6136,Fantastic 4: Flame On,GBA,Game Boy Advance,Nintendo,6th,Y,2005,Action,Activision,0.2,0.08,0,0.01,0.28,Exclusive
12053,Fantastic Four,PS,PlayStation,SONY,5th,N,1997,Action,Acclaim Entertainment,0.04,0.03,0,0,0.07,Exclusive
4881,Fantastic Four: Rise of the Silver Surfer,PS2,PlayStation 2,SONY,6th,N,2007,Action,Take-Two Interactive,0.19,0.15,0,0.05,0.39,Non-Exclusive
13388,Fantastic Four: Rise of the Silver Surfer,Wii,Nintendo Wii,Nintendo,7th,N,2007,Action,Take-Two Interactive,0.04,0.01,0,0,0.05,Non-Exclusive
9985,Fantastic Four: Rise of the Silver Surfer,X360,Xbox 360,Microsoft,7th,N,2007,Action,Take-Two Interactive,0.1,0.01,0,0.01,0.12,Non-Exclusive
4726,Fantastic Pets,X360,Xbox 360,Microsoft,7th,N,2011,Simulation,THQ,0.3,0.08,0,0.03,0.41,Exclusive
11941,Fantasy Aquarium by DS,DS,Nintendo DS,Nintendo,7th,Y,2008,Simulation,Mercury Games,0.07,0,0,0.01,0.07,Exclusive
12202,Fantasy Aquarium World,Wii,Nintendo Wii,Nintendo,7th,N,2009,Simulation,Destineer,0.06,0,0,0,0.07,Exclusive
1808,Fantasy Life,3DS,Nintendo 3DS,Nintendo,8th,Y,2012,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13,Exclusive
4148,Fantavision,PS2,PlayStation 2,SONY,6th,N,2000,Puzzle,Sony Computer Entertainment,0.14,0.11,0.19,0.04,0.47,Exclusive
1385,Far Cry 2,PS3,PlayStation 3,SONY,7th,N,2008,Action,Ubisoft,0.43,0.7,0.01,0.27,1.4,Non-Exclusive
1153,Far Cry 2,X360,Xbox 360,Microsoft,7th,N,2008,Action,Ubisoft,0.71,0.69,0.02,0.18,1.6,Non-Exclusive
383,Far Cry 3,PS3,PlayStation 3,SONY,7th,N,2012,Shooter,Ubisoft,0.88,1.75,0.1,0.72,3.45,Non-Exclusive
460,Far Cry 3,X360,Xbox 360,Microsoft,7th,N,2012,Shooter,Ubisoft,1.38,1.35,0.02,0.28,3.04,Non-Exclusive
1339,Far Cry 4,PS3,PlayStation 3,SONY,7th,N,2014,Shooter,Ubisoft,0.33,0.79,0.08,0.23,1.44,Non-Exclusive
2121,Far Cry 4,X360,Xbox 360,Microsoft,7th,N,2014,Shooter,Ubisoft,0.45,0.44,0,0.08,0.98,Non-Exclusive
3511,Far Cry Instincts,XB,Xbox,Microsoft,6th,N,2005,Shooter,Ubisoft,0.32,0.24,0,0.02,0.57,Exclusive
11711,Far Cry Instincts Evolution,XB,Xbox,Microsoft,6th,N,2006,Shooter,Ubisoft,0.06,0.02,0,0,0.08,Exclusive
6717,Far Cry Instincts Predator,X360,Xbox 360,Microsoft,7th,N,2006,Shooter,Ubisoft,0.2,0.03,0,0.02,0.25,Exclusive
11443,Far Cry Vengeance,Wii,Nintendo Wii,Nintendo,7th,N,2006,Shooter,Ubisoft,0.06,0.01,0,0.01,0.08,Exclusive
772,Far Cry: Primal,PS4,PlayStation 4,SONY,8th,N,2016,Action,Ubisoft,0.59,1.16,0.06,0.33,2.13,Non-Exclusive
2436,Far Cry: Primal,XOne,Xbox One,Microsoft,8th,N,2016,Action,Ubisoft,0.46,0.32,0,0.07,0.85,Non-Exclusive
8417,Far East of Eden II: Manji Maru,PS2,PlayStation 2,SONY,6th,N,2003,Role-Playing,Hudson Soft,0,0,0.17,0,0.17,Non-Exclusive
16220,Far East of Eden II: Manji Maru,DS,Nintendo DS,Nintendo,7th,Y,2006,Role-Playing,Hudson Soft,0,0,0.01,0,0.01,Non-Exclusive
5922,Far East of Eden Zero,SNES,Super Nintendo,Nintendo,4th,N,1995,Role-Playing,Hudson Soft,0,0,0.3,0,0.3,Exclusive
14777,Farm Frenzy 3,DS,Nintendo DS,Nintendo,7th,Y,2011,Strategy,Unknown,0,0.02,0,0,0.03,Exclusive
8768,Farm Frenzy: Animal Country,DS,Nintendo DS,Nintendo,7th,Y,2009,Simulation,City Interactive,0.13,0.01,0,0.01,0.15,Exclusive
16573,Farming 2017 - The Simulation,PS4,PlayStation 4,SONY,8th,N,2016,Simulation,UIG Entertainment,0,0.01,0,0,0.01,Exclusive
9128,Farming Simulator 2012,3DS,Nintendo 3DS,Nintendo,8th,Y,2012,Action,Excalibur Publishing,0,0.12,0,0.02,0.14,Exclusive
8612,Farming Simulator 2013,PS3,PlayStation 3,SONY,7th,N,2013,Simulation,Focus Home Interactive,0,0.1,0.02,0.04,0.16,Non-Exclusive
4955,Farming Simulator 2013,X360,Xbox 360,Microsoft,7th,N,2013,Simulation,Focus Home Interactive,0.22,0.13,0,0.03,0.39,Non-Exclusive
15964,Farming Simulator 2014,PSV,PlayStation Vita,SONY,8th,Y,2014,Simulation,Focus Home Interactive,0.01,0,0,0,0.02,Exclusive
4275,Farming Simulator 2015,PS3,PlayStation 3,SONY,7th,N,2015,Simulation,Koch Media,0.11,0.28,0,0.07,0.46,Non-Exclusive
4706,Farming Simulator 2015,X360,Xbox 360,Microsoft,7th,N,2015,Simulation,Koch Media,0.21,0.16,0,0.04,0.41,Non-Exclusive
7962,Farmtopia,DS,Nintendo DS,Nintendo,7th,Y,2010,Simulation,505 Games,0.18,0,0,0.01,0.19,Exclusive
9331,Fashion Studio: Paris Collection,DS,Nintendo DS,Nintendo,7th,Y,2009,Misc,Ubisoft,0.13,0,0,0.01,0.13,Exclusive
13643,Fashion Week Jr. Designer,DS,Nintendo DS,Nintendo,7th,Y,2009,Simulation,505 Games,0.04,0,0,0,0.04,Exclusive
16345,Fashionable Puppy: Oshare na Koinu DS,DS,Nintendo DS,Nintendo,7th,Y,2007,Simulation,MTO,0,0,0.01,0,0.01,Exclusive
14106,Fast & Furious: Showdown,PS3,PlayStation 3,SONY,7th,N,2013,Action,Activision,0,0.03,0,0,0.03,Non-Exclusive
13356,Fast & Furious: Showdown,X360,Xbox 360,Microsoft,7th,N,2013,Action,Activision,0,0.04,0,0,0.05,Non-Exclusive
12311,Fast Food Panic,Wii,Nintendo Wii,Nintendo,7th,N,2009,Simulation,Nobilis,0.06,0,0,0,0.06,Exclusive
9815,Fat Princess: Fistful of Cake,PSP,PlayStation Portable,SONY,7th,Y,2010,Action,Sony Computer Entertainment,0.08,0.02,0,0.02,0.12,Exclusive
9018,Fatal Frame,PS2,PlayStation 2,SONY,6th,N,2001,Action,Wanadoo,0.07,0.06,0,0.02,0.14,Non-Exclusive
12667,Fatal Frame,XB,Xbox,Microsoft,6th,N,2002,Action,Tecmo Koei,0.04,0.01,0,0,0.06,Non-Exclusive
10450,Fatal Frame 2: Wii Edition,Wii,Nintendo Wii,Nintendo,7th,N,2012,Action,Nintendo,0,0,0.1,0,0.1,Exclusive
8545,Fatal Frame II: Crimson Butterfly,PS2,PlayStation 2,SONY,6th,N,2003,Action,Ubisoft,0.08,0.06,0,0.02,0.16,Exclusive
13265,Fatal Frame II: Crimson Butterfly Director's Cut,XB,Xbox,Microsoft,6th,N,2004,Action,Microsoft Game Studios,0.04,0.01,0,0,0.05,Exclusive
11410,Fatal Frame III: The Tormented,PS2,PlayStation 2,SONY,6th,N,2005,Action,Take-Two Interactive,0.04,0.03,0,0.01,0.08,Exclusive
10074,Fatal Frame: Maiden of Black Water,WiiU,Nintendo WiiU,Nintendo,8th,N,2014,Action,Nintendo,0,0.03,0.08,0,0.11,Exclusive
4954,Fatal Fury,SNES,Super Nintendo,Nintendo,4th,N,1992,Fighting,Takara,0,0,0.39,0,0.39,Exclusive
4365,Fatal Fury 2,SNES,Super Nintendo,Nintendo,4th,N,1993,Fighting,Takara,0,0,0.45,0,0.45,Exclusive
3611,Fatal Fury Special,SNES,Super Nintendo,Nintendo,4th,N,1994,Fighting,Takara,0,0,0.56,0,0.56,Exclusive
13991,Fatal Fury: Battle Archives Volume 1,PS2,PlayStation 2,SONY,6th,N,2006,Fighting,Ignition Entertainment,0.02,0.01,0,0,0.04,Exclusive
16283,Fatal Fury: Battle Archives Volume 1 (JP sales),PS2,PlayStation 2,SONY,6th,N,2006,Fighting,Ignition Entertainment,0,0,0.01,0,0.01,Exclusive
12145,Fatal Fury: Battle Archives Volume 2,PS2,PlayStation 2,SONY,6th,N,2007,Fighting,SNK Playmore,0.03,0.03,0,0.01,0.07,Exclusive
16187,Fatal Fury: Battle Archives Volume 2 (JP sales),PS2,PlayStation 2,SONY,6th,N,2007,Fighting,SNK Playmore,0,0,0.01,0,0.01,Exclusive
12936,Fatal Fury: Wild Ambition,PS,PlayStation,SONY,5th,N,1999,Fighting,SNK Playmore,0.03,0.02,0,0,0.05,Exclusive
9403,Fatal Inertia,X360,Xbox 360,Microsoft,7th,N,2007,Racing,Tecmo Koei,0.12,0,0,0.01,0.13,Exclusive
5806,Fate/Extra,PSP,PlayStation Portable,SONY,7th,Y,2010,Role-Playing,Marvelous Interactive,0.18,0.01,0.1,0.02,0.31,Exclusive
9841,Fate/Extra CCC,PSP,PlayStation Portable,SONY,7th,Y,2013,Action,Marvelous Entertainment,0,0,0.12,0,0.12,Exclusive
10699,Fate/hollow ataraxia,PSV,PlayStation Vita,SONY,8th,Y,2014,Adventure,Type-Moon,0,0,0.1,0,0.1,Exclusive
16383,Fate/kaleid liner Prisma Illya,3DS,Nintendo 3DS,Nintendo,8th,Y,2014,Action,Kadokawa Games,0,0,0.01,0,0.01,Exclusive
8350,Fate/Stay Night [Réalta Nua],PS2,PlayStation 2,SONY,6th,N,2007,Adventure,Kadokawa Shoten,0,0,0.17,0,0.17,Exclusive
11682,Fate/Tiger Colosseum,PSP,PlayStation Portable,SONY,7th,Y,2007,Fighting,Capcom,0,0,0.08,0,0.08,Exclusive
12553,Fate/Tiger Colosseum Upper,PSP,PlayStation Portable,SONY,7th,Y,2008,Fighting,Capcom,0,0,0.06,0,0.06,Exclusive
9160,Fate/Unlimited Codes,PS2,PlayStation 2,SONY,6th,N,2008,Fighting,Capcom,0,0,0.14,0,0.14,Exclusive
12970,Fate/Unlimited Codes Portable,PSP,PlayStation Portable,SONY,7th,Y,2009,Fighting,Capcom,0,0,0.05,0,0.05,Exclusive
2855,Fear Effect,PS,PlayStation,SONY,5th,N,1998,Action,Eidos Interactive,0.4,0.27,0,0.05,0.72,Exclusive
8048,Fear Effect 2: Retro Helix,PS,PlayStation,SONY,5th,N,2001,Action,Eidos Interactive,0.1,0.07,0,0.01,0.18,Exclusive
9268,Fear Factor: Unleashed,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Action,Hip Interactive,0.1,0.04,0,0,0.14,Exclusive
6065,Feel the Magic XY/XX,DS,Nintendo DS,Nintendo,7th,Y,2004,Puzzle,Sega,0.17,0,0.1,0.02,0.29,Exclusive
10259,Felony 11-79,PS,PlayStation,SONY,5th,N,1997,Racing,ASCII Entertainment,0.06,0.04,0,0.01,0.11,Exclusive
9766,Ferrari Challenge Trofeo Pirelli,PS2,PlayStation 2,SONY,6th,N,2008,Racing,System 3 Arcade Software,0.06,0.05,0,0.02,0.12,Exclusive
15015,Ferrari Challenge Trofeo Pirelli Deluxe,Wii,Nintendo Wii,Nintendo,7th,N,2009,Racing,System 3 Arcade Software,0,0.02,0,0,0.02,Exclusive
13004,Ferrari F355 Challenge,PS2,PlayStation 2,SONY,6th,N,2002,Racing,Sony Computer Entertainment,0.03,0.02,0,0.01,0.05,Exclusive
15814,Ferrari: The Race Experience,Wii,Nintendo Wii,Nintendo,7th,N,2011,Racing,System 3 Arcade Software,0,0.01,0,0,0.02,Exclusive
16135,Festa!! Hyper Girls Party,PS2,PlayStation 2,SONY,6th,N,2006,Adventure,KID,0,0,0.01,0,0.01,Exclusive
10871,Field & Stream: Total Outdoorsman Challenge,X360,Xbox 360,Microsoft,7th,N,2010,Sports,505 Games,0.09,0,0,0.01,0.09,Exclusive
8569,Field Commander,PSP,PlayStation Portable,SONY,7th,Y,2006,Strategy,Sony Online Entertainment,0.14,0,0,0.01,0.16,Exclusive
9235,FIFA 06 Soccer,GC,GameCube,Nintendo,6th,N,2005,Sports,Electronic Arts,0.11,0.03,0,0,0.14,Exclusive
8725,FIFA 06: Road to FIFA World Cup,X360,Xbox 360,Microsoft,7th,N,2005,Sports,Electronic Arts,0.11,0.02,0.01,0.01,0.15,Exclusive
11226,FIFA 12,PS2,PlayStation 2,SONY,6th,N,2011,Sports,Electronic Arts,0,0.02,0,0.06,0.09,Non-Exclusive
2621,FIFA 12,Wii,Nintendo Wii,Nintendo,7th,N,2011,Sports,Electronic Arts,0.16,0.52,0,0.11,0.79,Non-Exclusive
276,FIFA 12,X360,Xbox 360,Microsoft,7th,N,2011,Sports,Electronic Arts,0.84,2.79,0.02,0.53,4.19,Non-Exclusive
113,FIFA 14,PS3,PlayStation 3,SONY,7th,N,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,Non-Exclusive
4540,FIFA 14,Wii,Nintendo Wii,Nintendo,7th,N,2013,Sports,Electronic Arts,0,0.38,0,0.05,0.43,Non-Exclusive
257,FIFA 14,X360,Xbox 360,Microsoft,7th,N,2013,Sports,Electronic Arts,0.92,2.93,0.01,0.46,4.31,Non-Exclusive
220,FIFA 15,PS3,PlayStation 3,SONY,7th,N,2014,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82,Non-Exclusive
