rank,name,platform,platform_full,Console_manufacturer,Generation,Handheld,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales
4823,Fighting Vipers,SAT,Sega Saturn,SEGA,5th,N,1995,Fighting,Sega,0,0,0.4,0,0.4
5011,Shin Megami Tensei: Devil Summoner,SAT,Sega Saturn,SEGA,5th,N,1995,Role-Playing,Atlus,0,0,0.38,0,0.38
5118,Panzer Dragoon,SAT,Sega Saturn,SEGA,5th,N,1995,Shooter,Sega,0,0,0.37,0,0.37
5374,Iron Storm,SAT,Sega Saturn,SEGA,5th,N,1995,Shooter,Sega,0,0,0.34,0,0.34
5395,Night Warriors: Darkstalkers' Revenge,SAT,Sega Saturn,SEGA,5th,N,1995,Fighting,Virgin Interactive,0,0,0.34,0,0.34
5647,Street Fighter Alpha 2,SAT,Sega Saturn,SEGA,5th,N,1995,Fighting,Virgin Interactive,0,0,0.32,0,0.32
5747,Panzer Dragoon II Zwei,SAT,Sega Saturn,SEGA,5th,N,1995,Shooter,Sega,0,0,0.31,0,0.31
5856,Blazing Heroes,SAT,Sega Saturn,SEGA,5th,N,1995,Role-Playing,Sega,0,0,0.3,0,0.3
5974,Guardian Heroes,SAT,Sega Saturn,SEGA,5th,N,1995,Role-Playing,Sega,0,0,0.29,0,0.29
6141,The King of Fighters '95,SAT,Sega Saturn,SEGA,5th,N,1995,Fighting,SNK Playmore,0,0,0.28,0,0.28
7023,Virtua Fighter Kids,SAT,Sega Saturn,SEGA,5th,N,1995,Fighting,Sega,0,0,0.23,0,0.23
7296,Kanzen Chuuki Pro Yakyuu Greatest Nine,SAT,Sega Saturn,SEGA,5th,N,1995,Sports,Sega,0,0,0.22,0,0.22
7466,X-Men: Children of the Atom,SAT,Sega Saturn,SEGA,5th,N,1995,Fighting,Acclaim Entertainment,0,0,0.21,0,0.21
7839,GunGriffon,SAT,Sega Saturn,SEGA,5th,N,1995,Simulation,Sega,0,0,0.19,0,0.19
7954,Super Real Mahjong P V,SAT,Sega Saturn,SEGA,5th,N,1995,Misc,Seta Corporation,0,0,0.19,0,0.19
8462,Parodius,SAT,Sega Saturn,SEGA,5th,N,1995,Shooter,Konami Digital Entertainment,0,0,0.16,0,0.17
8854,J-League Victory Goal,SAT,Sega Saturn,SEGA,5th,N,1995,Sports,Sega,0,0,0.15,0,0.15
8982,Dragon Ball Z: Idainaru Dragon Ball Densetsu,SAT,Sega Saturn,SEGA,5th,N,1995,Fighting,Namco Bandai Games,0,0,0.15,0,0.15
9259,Daytona USA Championship Circuit Edition,SAT,Sega Saturn,SEGA,5th,N,1995,Racing,Sega,0,0,0.14,0,0.14
9642,Detana TwinBee Yahho! Deluxe Pack,SAT,Sega Saturn,SEGA,5th,N,1995,Shooter,Konami Digital Entertainment,0,0,0.13,0,0.13
9671,High Velocity: Mountain Racing Challenge,SAT,Sega Saturn,SEGA,5th,N,1995,Racing,Atlus,0,0,0.12,0,0.12
9767,Virtua Fighter CG Portrait Series Vol.4: Pai Chan,SAT,Sega Saturn,SEGA,5th,N,1995,Misc,Sega,0,0,0.12,0,0.12
10006,Nobunaga no Yabou: Tenshoki,SAT,Sega Saturn,SEGA,5th,N,1995,Strategy,Tecmo Koei,0,0,0.11,0,0.11
10144,Virtua Fighter CG Portrait Series Vol.1: Sarah Bryant,SAT,Sega Saturn,SEGA,5th,N,1995,Misc,Sega,0,0,0.11,0,0.11
10386,Virtual Hydlide,SAT,Sega Saturn,SEGA,5th,N,1995,Role-Playing,Sega,0,0,0.11,0,0.11
10590,Darius Gaiden,SAT,Sega Saturn,SEGA,5th,N,1995,Shooter,Acclaim Entertainment,0,0,0.1,0,0.1
10682,Idol Janshi Suchie-Pai Remix,SAT,Sega Saturn,SEGA,5th,N,1995,Misc,Jaleco,0,0,0.1,0,0.1
10899,Virtua Fighter CG Portrait Series Vol.3: Akira Yuki,SAT,Sega Saturn,SEGA,5th,N,1995,Misc,Sega,0,0,0.09,0,0.09
11061,Dragon Ball Z: Shin Butouden,SAT,Sega Saturn,SEGA,5th,N,1995,Fighting,Namco Bandai Games,0,0,0.09,0,0.09
11256,Princess Maker 2,SAT,Sega Saturn,SEGA,5th,N,1995,Simulation,Micro Cabin,0,0,0.08,0,0.08
11271,Virtua Fighter CG Portrait Series Vol.2: Jacky Bryant,SAT,Sega Saturn,SEGA,5th,N,1995,Misc,Sega,0,0,0.08,0,0.08
11621,GOTHA: Ismailia Seneki,SAT,Sega Saturn,SEGA,5th,N,1995,Strategy,Sega,0,0,0.08,0,0.08
11679,Quo Vadis,SAT,Sega Saturn,SEGA,5th,N,1995,Strategy,Glams,0,0,0.08,0,0.08
11814,Hang On GP,SAT,Sega Saturn,SEGA,5th,N,1995,Racing,Sega,0,0,0.07,0,0.07
12109,Super Real Mahjong Graffiti,SAT,Sega Saturn,SEGA,5th,N,1995,Misc,Seta Corporation,0,0,0.07,0,0.07
12441,Kekkon: Marriage,SAT,Sega Saturn,SEGA,5th,N,1995,Adventure,Shogakukan,0,0,0.06,0,0.06
12594,Tenchi Muyou! Ryoukouki Gokuraku,SAT,Sega Saturn,SEGA,5th,N,1995,Adventure,Yumedia,0,0,0.06,0,0.06
12794,Gunbird,SAT,Sega Saturn,SEGA,5th,N,1995,Shooter,Atlus,0,0,0.06,0,0.06
13091,Virtua Fighter CG Portrait Series Vol.5: Wolf Hawkfield,SAT,Sega Saturn,SEGA,5th,N,1995,Misc,Sega,0,0,0.05,0,0.05
13171,Baku Baku,SAT,Sega Saturn,SEGA,5th,N,1995,Puzzle,Sega,0,0,0.05,0,0.05
13237,Kekkon Zenya,SAT,Sega Saturn,SEGA,5th,N,1995,Adventure,Shogakukan,0,0,0.05,0,0.05
13471,Virtua Fighter CG Portrait Series Vol.6: Lau Chan,SAT,Sega Saturn,SEGA,5th,N,1995,Misc,Sega,0,0,0.04,0,0.04
13839,Tokimeki Mahjong Paradise: Koi no Tenpai Beat,SAT,Sega Saturn,SEGA,5th,N,1995,Misc,Sonnet,0,0,0.04,0,0.04
14340,Rampo,SAT,Sega Saturn,SEGA,5th,N,1995,Adventure,Sega,0,0,0.03,0,0.03
14694,Battle Arena Toshinden URA,SAT,Sega Saturn,SEGA,5th,N,1995,Fighting,Sega,0,0,0.03,0,0.03
14744,Darius II,SAT,Sega Saturn,SEGA,5th,N,1995,Shooter,Taito,0,0,0.03,0,0.03
14930,America Oudan Ultra-Quiz,SAT,Sega Saturn,SEGA,5th,N,1995,Misc,Victor Interactive,0,0,0.02,0,0.02
12637,Policenauts,3DO,3DO,3DO Company,5th,N,1995,Adventure,Konami Digital Entertainment,0,0,0.06,0,0.06
15482,Sotsugyou II: Neo Generation Special,3DO,3DO,3DO Company,5th,N,1995,Simulation,Imageworks,0,0,0.02,0,0.02
117,Crash Bandicoot,PS,PlayStation,SONY,5th,N,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
153,Tekken 2,PS,PlayStation,SONY,5th,N,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
202,Resident Evil,PS,PlayStation,SONY,5th,N,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05
230,Tomb Raider,PS,PlayStation,SONY,5th,N,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
294,Namco Museum Vol.3,PS,PlayStation,SONY,5th,N,1996,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05
326,Resident Evil Director's Cut,PS,PlayStation,SONY,5th,N,1996,Action,Virgin Interactive,1.82,1.24,0.47,0.25,3.77
533,Mortal Kombat Trilogy,PS,PlayStation,SONY,5th,N,1996,Fighting,GT Interactive,1.98,0.7,0,0.11,2.79
632,Twisted Metal 2,PS,PlayStation,SONY,5th,N,1996,Racing,Sony Computer Entertainment,2.12,0.25,0,0.07,2.44
647,Tetris Plus,PS,PlayStation,SONY,5th,N,1996,Puzzle,JVC,2.1,0.24,0,0.07,2.4
902,PaRappa The Rapper,PS,PlayStation,SONY,5th,N,1996,Misc,Sony Computer Entertainment,0.26,0.16,1.46,0.03,1.92
948,Jet Moto,PS,PlayStation,SONY,5th,N,1996,Racing,Sony Computer Entertainment,1.33,0.4,0.03,0.07,1.83
1163,Soul Edge,PS,PlayStation,SONY,5th,N,1996,Fighting,Sony Computer Entertainment,0.61,0.41,0.46,0.1,1.59
1218,Die Hard Trilogy,PS,PlayStation,SONY,5th,N,1996,Shooter,Fox Interactive,0.85,0.58,0,0.1,1.54
1234,NASCAR 98,PS,PlayStation,SONY,5th,N,1996,Racing,Electronic Arts,1.43,0.05,0,0.04,1.52
1384,2Xtreme,PS,PlayStation,SONY,5th,N,1996,Sports,Sony Computer Entertainment,1.15,0.2,0,0.05,1.4
1497,Madden NFL 97,PS,PlayStation,SONY,5th,N,1996,Sports,Electronic Arts,0.73,0.5,0,0.09,1.32
1501,TNN Motor Sports Hardcore 4x4,PS,PlayStation,SONY,5th,N,1996,Racing,ASC Games,0.73,0.5,0,0.09,1.31
1591,Reel Fishing,PS,PlayStation,SONY,5th,N,1996,Sports,Natsume,0.99,0.13,0.1,0.04,1.25
1647,SimCity 2000,PS,PlayStation,SONY,5th,N,1996,Simulation,Maxis,0.68,0.46,0,0.08,1.22
1720,Soviet Strike,PS,PlayStation,SONY,5th,N,1996,Simulation,Electronic Arts,0.65,0.44,0,0.08,1.17
1734,Rage Racer,PS,PlayStation,SONY,5th,N,1996,Racing,Sony Computer Entertainment,0.16,0.11,0.83,0.08,1.17
1737,Destruction Derby 2,PS,PlayStation,SONY,5th,N,1996,Racing,Psygnosis,0.65,0.44,0,0.08,1.17
1974,Arc the Lad II,PS,PlayStation,SONY,5th,N,1996,Role-Playing,Sony Computer Entertainment,0,0,0.92,0.13,1.05
1998,Mega Man X4,PS,PlayStation,SONY,5th,N,1996,Action,Virgin Interactive,0.45,0.3,0.22,0.07,1.04
2073,NBA Live 97,PS,PlayStation,SONY,5th,N,1996,Sports,Electronic Arts,0.55,0.38,0,0.07,1
2183,Wild ARMs,PS,PlayStation,SONY,5th,N,1996,Role-Playing,Sony Computer Entertainment,0.26,0.17,0.46,0.06,0.95
2202,Midway Presents Arcade's Greatest Hits: The Atari Collection 1,PS,PlayStation,SONY,5th,N,1996,Misc,GT Interactive,0.52,0.36,0,0.06,0.94
2258,Space Jam,PS,PlayStation,SONY,5th,N,1996,Sports,Acclaim Entertainment,0.51,0.35,0,0.06,0.92
2271,Tobal No.1,PS,PlayStation,SONY,5th,N,1996,Fighting,Sony Computer Entertainment,0.12,0.08,0.66,0.06,0.92
2356,Mega Man 8 Anniversary Collector's Edition,PS,PlayStation,SONY,5th,N,1996,Platform,Capcom,0.44,0.3,0.09,0.06,0.88
2368,Star Wars: Rebel Assault II - The Hidden Empire,PS,PlayStation,SONY,5th,N,1996,Shooter,CTO SpA,0.49,0.33,0,0.06,0.88
2391,NFL GameDay '97,PS,PlayStation,SONY,5th,N,1996,Sports,Sony Computer Entertainment,0.48,0.33,0,0.06,0.87
2437,Street Fighter Alpha 2,PS,PlayStation,SONY,5th,N,1996,Fighting,Virgin Interactive,0.14,0.09,0.57,0.06,0.85
2504,Casper,PS,PlayStation,SONY,5th,N,1996,Adventure,Interplay,0.46,0.31,0,0.05,0.83
2663,Andretti Racing,PS,PlayStation,SONY,5th,N,1996,Racing,Electronic Arts,0.43,0.29,0,0.05,0.77
2689,Formula 1,PS,PlayStation,SONY,5th,N,1996,Racing,Psygnosis,0.18,0.12,0.42,0.05,0.76
2834,Area 51,PS,PlayStation,SONY,5th,N,1996,Shooter,GT Interactive,0.4,0.27,0,0.05,0.72
3017,Contra: Legacy of War,PS,PlayStation,SONY,5th,N,1996,Shooter,Konami Digital Entertainment,0.37,0.25,0,0.04,0.67
3242,WWF in Your House,PS,PlayStation,SONY,5th,N,1996,Fighting,Acclaim Entertainment,0.35,0.24,0,0.04,0.62
3642,Shin Super Robot Taisen,PS,PlayStation,SONY,5th,N,1996,Role-Playing,Banpresto,0,0,0.52,0.04,0.55
3667,Star Wars: Dark Forces,PS,PlayStation,SONY,5th,N,1996,Shooter,LucasArts,0.31,0.21,0,0.04,0.55
3686,Top Gun: Fire at Will!,PS,PlayStation,SONY,5th,N,1996,Misc,Microprose,0.3,0.21,0,0.04,0.55
3761,Clock Tower,PS,PlayStation,SONY,5th,N,1996,Adventure,ASCII Entertainment,0.07,0.05,0.38,0.03,0.53
3779,Jampack Vol. 2,PS,PlayStation,SONY,5th,N,1996,Misc,Sony Computer Entertainment,0.3,0.2,0,0.03,0.53
3887,International Track & Field,PS,PlayStation,SONY,5th,N,1996,Sports,Konami Digital Entertainment,0.08,0.05,0.35,0.03,0.51
3917,Dai-4-Ji Super Robot Taisen S,PS,PlayStation,SONY,5th,N,1996,Strategy,Banpresto,0,0,0.48,0.03,0.51
4009,PoPoLoCrois Monogatari,PS,PlayStation,SONY,5th,N,1996,Role-Playing,Sony Computer Entertainment,0,0,0.46,0.03,0.5
4150,Alien Trilogy,PS,PlayStation,SONY,5th,N,1996,Shooter,Acclaim Entertainment,0.24,0.16,0.04,0.03,0.47
4216,NHL 97,PS,PlayStation,SONY,5th,N,1996,Sports,Electronic Arts,0.26,0.18,0,0.03,0.47
4264,NHL FaceOff '97,PS,PlayStation,SONY,5th,N,1996,Sports,Sony Computer Entertainment,0.26,0.17,0,0.03,0.46
4401,Vandal Hearts,PS,PlayStation,SONY,5th,N,1996,Role-Playing,Konami Digital Entertainment,0.14,0.09,0.19,0.03,0.45
4433,World Stadium EX,PS,PlayStation,SONY,5th,N,1996,Sports,Namco Bandai Games,0,0,0.41,0.03,0.44
4451,Blood Omen: Legacy of Kain,PS,PlayStation,SONY,5th,N,1996,Role-Playing,Crystal Dynamics,0.25,0.17,0,0.03,0.44
4542,Cool Boarders,PS,PlayStation,SONY,5th,N,1996,Sports,Sony Computer Entertainment,0.1,0.07,0.24,0.03,0.43
4718,NASCAR Racing,PS,PlayStation,SONY,5th,N,1996,Racing,Pioneer LDC,0.23,0.16,0,0.03,0.41
4755,Pro Pinball,PS,PlayStation,SONY,5th,N,1996,Misc,Empire Interactive,0.23,0.15,0,0.03,0.41
4866,Command & Conquer,PS,PlayStation,SONY,5th,N,1996,Strategy,Virgin Interactive,0.22,0.15,0,0.03,0.4
4981,Triple Play 97,PS,PlayStation,SONY,5th,N,1996,Sports,Electronic Arts Victor,0.21,0.15,0,0.03,0.38
5032,Mobile Suit Gundam version 2.0,PS,PlayStation,SONY,5th,N,1996,Action,Namco Bandai Games,0,0,0.36,0.02,0.38
5434,Fade to Black,PS,PlayStation,SONY,5th,N,1996,Action,Electronic Arts,0.19,0.13,0,0.02,0.34
5447,Tokyo Highway Battle,PS,PlayStation,SONY,5th,N,1996,Racing,Jaleco,0.06,0.04,0.21,0.02,0.33
5553,NBA Live 96,PS,PlayStation,SONY,5th,N,1996,Sports,Electronic Arts,0.16,0.11,0.04,0.02,0.33
5613,OverBlood,PS,PlayStation,SONY,5th,N,1996,Action,Electronic Arts,0.05,0.04,0.21,0.02,0.32
5733,Alone in the Dark: One-Eyed Jack's Revenge,PS,PlayStation,SONY,5th,N,1996,Adventure,Infogrames,0.17,0.12,0,0.02,0.31
5911,Star Gladiator Episode: I Final Crusade,PS,PlayStation,SONY,5th,N,1996,Fighting,Virgin Interactive,0.07,0.05,0.15,0.02,0.3
6048,DX Game of Life,PS,PlayStation,SONY,5th,N,1996,Misc,Takara,0,0,0.27,0.02,0.29
6053,MLB Pennant Race,PS,PlayStation,SONY,5th,N,1996,Sports,Sony Computer Entertainment,0.16,0.11,0,0.02,0.29
6078,Namco Museum Vol.2,PS,PlayStation,SONY,5th,N,1996,Misc,Sony Computer Entertainment,0.03,0.02,0.21,0.02,0.29
6098,PGA Tour 97,PS,PlayStation,SONY,5th,N,1996,Sports,Electronic Arts,0.16,0.11,0,0.02,0.29
6272,Shin Nippon Pro Wrestling: Toukon Retsuden 2,PS,PlayStation,SONY,5th,N,1996,Fighting,Tomy Corporation,0,0,0.26,0.02,0.27
6302,Gunship,PS,PlayStation,SONY,5th,N,1996,Simulation,Microprose,0.15,0.1,0,0.02,0.27
6412,Battle Arena Toshinden 3,PS,PlayStation,SONY,5th,N,1996,Fighting,Sony Computer Entertainment,0.06,0.04,0.14,0.02,0.27
6460,King's Field II,PS,PlayStation,SONY,5th,N,1996,Role-Playing,From Software,0.08,0.06,0.11,0.02,0.26
6464,NCAA Gamebreaker,PS,PlayStation,SONY,5th,N,1996,Sports,Sony Computer Entertainment,0.15,0.1,0,0.02,0.26
6657,WipEout XL,PS,PlayStation,SONY,5th,N,1996,Racing,Psygnosis,0.14,0.1,0,0.02,0.25
6700,Penny Racers,PS,PlayStation,SONY,5th,N,1996,Racing,Sony Computer Entertainment,0,0,0.23,0.02,0.25
6752,Project Overkill,PS,PlayStation,SONY,5th,N,1996,Shooter,Konami Digital Entertainment,0.14,0.09,0,0.02,0.25
6753,Jumping Flash! 2,PS,PlayStation,SONY,5th,N,1996,Platform,Sony Computer Entertainment,0.05,0.03,0.15,0.02,0.25
6788,Gallop Racer (JP),PS,PlayStation,SONY,5th,N,1996,Sports,Tecmo Koei,0.04,0.03,0.16,0.02,0.24
7048,Perfect Weapon,PS,PlayStation,SONY,5th,N,1996,Action,American Softworks,0.13,0.09,0,0.02,0.23
7190,NFL Quarterback Club 97,PS,PlayStation,SONY,5th,N,1996,Sports,Acclaim Entertainment,0.12,0.08,0,0.01,0.22
7237,NBA Jam Extreme,PS,PlayStation,SONY,5th,N,1996,Sports,Acclaim Entertainment,0.12,0.08,0,0.01,0.22
7322,Pandemonium!,PS,PlayStation,SONY,5th,N,1996,Platform,BMG Interactive Entertainment,0.12,0.08,0,0.01,0.21
7385,NOëL: NOT DiGITAL,PS,PlayStation,SONY,5th,N,1996,Adventure,Pioneer LDC,0,0,0.2,0.01,0.21
7421,Bastard!! Utsuro Naru Kamigami no Utsuwa,PS,PlayStation,SONY,5th,N,1996,Role-Playing,Seta Corporation,0,0,0.2,0.01,0.21
7591,Ogre Battle Saga Episode Five: The March of the Black Queen,PS,PlayStation,SONY,5th,N,1996,Role-Playing,ArtDink,0.06,0.04,0.09,0.01,0.2
7657,Namco Museum Vol.4,PS,PlayStation,SONY,5th,N,1996,Misc,Sony Computer Entertainment,0.02,0.01,0.16,0.01,0.2
7747,Dragon Ball Z: Idainaru Dragon Ball Densetsu,PS,PlayStation,SONY,5th,N,1996,Fighting,Namco Bandai Games,0,0,0.18,0.01,0.19
7799,Descent,PS,PlayStation,SONY,5th,N,1996,Shooter,Interplay,0.11,0.07,0,0.01,0.19
7829,Allied General,PS,PlayStation,SONY,5th,N,1996,Strategy,SSI,0.11,0.07,0,0.01,0.19
7879,Warhammer: Shadow of the Horned Rat,PS,PlayStation,SONY,5th,N,1996,Strategy,Mindscape,0.11,0.07,0,0.01,0.19
7959,Bubsy 3D,PS,PlayStation,SONY,5th,N,1996,Platform,Accolade,0.1,0.07,0,0.01,0.19
8091,Jampack Vol. 1,PS,PlayStation,SONY,5th,N,1996,Misc,Sony Computer Entertainment,0.1,0.07,0,0.01,0.18
8253,Time Commando,PS,PlayStation,SONY,5th,N,1996,Action,Adeline Software,0.1,0.07,0,0.01,0.17
8303,The King of Fighters '95,PS,PlayStation,SONY,5th,N,1996,Fighting,Sony Computer Entertainment,0,0,0.16,0.01,0.17
8377,Reloaded,PS,PlayStation,SONY,5th,N,1996,Action,Gremlin Interactive Ltd,0.09,0.06,0,0.01,0.17
8390,VR Golf '97,PS,PlayStation,SONY,5th,N,1996,Sports,Gremlin Interactive Ltd,0.09,0.06,0,0.01,0.17
8409,Tokimeki Memorial: Private Collection,PS,PlayStation,SONY,5th,N,1996,Misc,Konami Digital Entertainment,0,0,0.16,0.01,0.17
8662,FIFA Soccer 97,PS,PlayStation,SONY,5th,N,1996,Sports,Electronic Arts,0.09,0.06,0,0.01,0.16
8664,Psychic Force,PS,PlayStation,SONY,5th,N,1996,Fighting,Acclaim Entertainment,0.01,0.01,0.13,0.01,0.16
8686,Street Racer,PS,PlayStation,SONY,5th,N,1996,Racing,Ubisoft,0.09,0.06,0,0.01,0.16
8699,The Incredible Hulk: The Pantheon Saga,PS,PlayStation,SONY,5th,N,1996,Action,Eidos Interactive,0.09,0.06,0,0.01,0.16
8714,Wing Commander III: Heart of the Tiger,PS,PlayStation,SONY,5th,N,1996,Action,Electronic Arts,0.09,0.06,0,0.01,0.16
8719,Namco Museum Vol.5,PS,PlayStation,SONY,5th,N,1996,Misc,Sony Computer Entertainment,0.02,0.01,0.12,0.01,0.15
8957,Blazing Dragons,PS,PlayStation,SONY,5th,N,1996,Adventure,Crystal Dynamics,0.08,0.06,0,0.01,0.15
9040,Iron & Blood,PS,PlayStation,SONY,5th,N,1996,Fighting,Acclaim Entertainment,0.08,0.05,0,0.01,0.14
9187,Frank Thomas Big Hurt Baseball,PS,PlayStation,SONY,5th,N,1996,Sports,Acclaim Entertainment,0.08,0.05,0,0.01,0.14
9192,Bottom of the 9th,PS,PlayStation,SONY,5th,N,1996,Sports,Konami Digital Entertainment,0.08,0.05,0,0.01,0.14
9217,Super Puzzle Fighter II Turbo,PS,PlayStation,SONY,5th,N,1996,Puzzle,Virgin Interactive,0.08,0.05,0,0.01,0.14
9311,NHL Breakaway 98,PS,PlayStation,SONY,5th,N,1996,Sports,Acclaim Entertainment,0.08,0.05,0,0.01,0.14
9608,Black Dawn,PS,PlayStation,SONY,5th,N,1996,Simulation,Virgin Interactive,0.07,0.05,0,0.01,0.13
9675,Criticom,PS,PlayStation,SONY,5th,N,1996,Fighting,Vic Tokai,0.07,0.05,0,0.01,0.12
9845,Burning Road,PS,PlayStation,SONY,5th,N,1996,Racing,FunSoft,0.07,0.05,0,0.01,0.12
9888,HardBall 5,PS,PlayStation,SONY,5th,N,1996,Sports,SPS,0.07,0.04,0,0.01,0.12
9961,Tecmo Super Bowl,PS,PlayStation,SONY,5th,N,1996,Sports,Tecmo Koei,0.06,0.04,0,0.01,0.12
9965,NHL Powerplay '96,PS,PlayStation,SONY,5th,N,1996,Sports,Virgin Interactive,0.06,0.04,0,0.01,0.12
10340,Goal Storm '97,PS,PlayStation,SONY,5th,N,1996,Sports,Konami Digital Entertainment,0.01,0,0.09,0.01,0.11
10585,Olympic Summer Games: Atlanta 1996,PS,PlayStation,SONY,5th,N,1996,Sports,U.S. Gold,0.06,0.04,0,0.01,0.1
10738,Blast Chamber,PS,PlayStation,SONY,5th,N,1996,Shooter,Activision,0.05,0.04,0,0.01,0.1
10757,Virtual Pro Wrestling,PS,PlayStation,SONY,5th,N,1996,Fighting,Asmik Ace Entertainment,0,0,0.09,0.01,0.1
10775,Tokimeki Memorial: Taisen Pazurudama,PS,PlayStation,SONY,5th,N,1996,Puzzle,Konami Digital Entertainment,0,0,0.09,0.01,0.1
10920,Bogey: Dead 6,PS,PlayStation,SONY,5th,N,1996,Simulation,Sony Computer Entertainment,0.05,0.04,0,0.01,0.09
10961,Return Fire,PS,PlayStation,SONY,5th,N,1996,Strategy,Time Warner Interactive,0.05,0.03,0,0.01,0.09
11056,Tunnel B1,PS,PlayStation,SONY,5th,N,1996,Action,Ocean,0.05,0.03,0,0.01,0.09
11164,Sotsugyou Crossworld,PS,PlayStation,SONY,5th,N,1996,Simulation,Hearty Robin,0,0,0.08,0.01,0.09
11380,Iron Man / X-O Manowar in Heavy Metal,PS,PlayStation,SONY,5th,N,1996,Platform,Acclaim Entertainment,0.05,0.03,0,0.01,0.08
11385,Robotron X,PS,PlayStation,SONY,5th,N,1996,Shooter,GT Interactive,0.05,0.03,0,0.01,0.08
11626,Skeleton Warriors,PS,PlayStation,SONY,5th,N,1996,Platform,Virgin Interactive,0.04,0.03,0,0.01,0.08
11771,NHL Open Ice,PS,PlayStation,SONY,5th,N,1996,Sports,Midway Games,0.04,0.03,0,0,0.07
11842,Spot Goes to Hollywood,PS,PlayStation,SONY,5th,N,1996,Platform,Virgin Interactive,0.04,0.03,0,0,0.07
11959,Machine Head,PS,PlayStation,SONY,5th,N,1996,Shooter,Eidos Interactive,0.04,0.03,0,0,0.07
12009,Tecmo's Deception,PS,PlayStation,SONY,5th,N,1996,Role-Playing,Sunsoft,0.04,0.03,0,0,0.07
12062,Strike Point,PS,PlayStation,SONY,5th,N,1996,Simulation,Elite,0.04,0.03,0,0,0.07
12182,The Final Round,PS,PlayStation,SONY,5th,N,1996,Sports,Konami Digital Entertainment,0.04,0.03,0,0,0.07
12242,Speed Racer,PS,PlayStation,SONY,5th,N,1996,Racing,Tomy Corporation,0.04,0.02,0,0,0.07
12502,NBA Hangtime,PS,PlayStation,SONY,5th,N,1996,Sports,Midway Games,0.03,0.02,0,0,0.06
12635,Killing Zone,PS,PlayStation,SONY,5th,N,1996,Fighting,Acclaim Entertainment,0.03,0.02,0,0,0.06
12766,Starwinder: The Ultimate Space Race,PS,PlayStation,SONY,5th,N,1996,Racing,Mindscape,0.03,0.02,0,0,0.06
12811,Impact Racing,PS,PlayStation,SONY,5th,N,1996,Racing,JVC,0.03,0.02,0,0,0.06
12846,Olympic Soccer: Atlanta 1996,PS,PlayStation,SONY,5th,N,1996,Sports,U.S. Gold,0.03,0.02,0,0,0.05
13146,Chronicles of the Sword,PS,PlayStation,SONY,5th,N,1996,Adventure,Psygnosis,0.03,0.02,0,0,0.05
13173,SD Gundam: Over Galaxian,PS,PlayStation,SONY,5th,N,1996,Shooter,Namco Bandai Games,0,0,0.05,0,0.05
13282,VR Soccer '96,PS,PlayStation,SONY,5th,N,1996,Sports,Gremlin Interactive Ltd,0.03,0.02,0,0,0.05
13352,Crusader: No Remorse,PS,PlayStation,SONY,5th,N,1996,Adventure,Electronic Arts,0.03,0.02,0,0,0.05
13480,Assault Rigs,PS,PlayStation,SONY,5th,N,1996,Action,Electronic Arts Victor,0.02,0.02,0,0,0.04
13500,Shin Fortune Quest: Sokutaku no Kishi,PS,PlayStation,SONY,5th,N,1996,Misc,Media Works,0,0,0.04,0,0.04
13909,PO'ed,PS,PlayStation,SONY,5th,N,1996,Shooter,Time Warner Interactive,0.02,0.01,0,0,0.04
13911,Adidas Power Soccer,PS,PlayStation,SONY,5th,N,1996,Sports,Psygnosis,0.02,0.01,0,0,0.04
14031,True Pinball,PS,PlayStation,SONY,5th,N,1996,Misc,Ocean,0.02,0.01,0,0,0.04
14192,Batman Forever: The Arcade Game,PS,PlayStation,SONY,5th,N,1996,Action,Acclaim Entertainment,0.02,0.01,0,0,0.03
14219,3D Baseball,PS,PlayStation,SONY,5th,N,1996,Sports,BMG Interactive Entertainment,0.02,0.01,0,0,0.03
14248,PowerSlave,PS,PlayStation,SONY,5th,N,1996,Shooter,BMG Interactive Entertainment,0.02,0.01,0,0,0.03
14358,DragonHeart: Fire & Steel,PS,PlayStation,SONY,5th,N,1996,Action,Acclaim Entertainment,0.02,0.01,0,0,0.03
14478,Lethal Enforcers I & II,PS,PlayStation,SONY,5th,N,1996,Shooter,Konami Digital Entertainment,0.02,0.01,0,0,0.03
14521,BRAHMA Force: The Assault on Beltlogger 9,PS,PlayStation,SONY,5th,N,1996,Shooter,JVC,0.02,0.01,0,0,0.03
14595,Grid Runner,PS,PlayStation,SONY,5th,N,1996,Action,Virgin Interactive,0.02,0.01,0,0,0.03
14782,The Adventures of Lomax,PS,PlayStation,SONY,5th,N,1996,Platform,Psygnosis,0.01,0.01,0,0,0.03
14877,Pitball,PS,PlayStation,SONY,5th,N,1996,Sports,Time Warner Interactive,0.01,0.01,0,0,0.03
14905,War Gods,PS,PlayStation,SONY,5th,N,1996,Fighting,GT Interactive,0.01,0.01,0,0,0.03
15304,Brain Dead 13,PS,PlayStation,SONY,5th,N,1996,Adventure,Coconuts Japan,0.01,0.01,0,0,0.02
